recipe_id,source,cuisine,region
1000231,Epicurious,Indian,SouthAsian
1000232,Epicurious,Indian,SouthAsian
1000233,Epicurious,Indian,SouthAsian
1000234,Epicurious,Indian,SouthAsian
1000235,Epicurious,Indian,SouthAsian
1000236,Epicurious,Indian,SouthAsian
1000237,Epicurious,Indian,SouthAsian
1000238,Epicurious,Indian,SouthAsian
1000239,Epicurious,Indian,SouthAsian
1000240,Epicurious,Indian,SouthAsian
1000241,Epicurious,Indian,SouthAsian
1000242,Epicurious,Indian,SouthAsian
1000243,Epicurious,Indian,SouthAsian
1000244,Epicurious,Indian,SouthAsian
1000245,Epicurious,Indian,SouthAsian
1000246,Epicurious,Indian,SouthAsian
1000247,Epicurious,Indian,SouthAsian
1000248,Epicurious,Indian,SouthAsian
1000249,Epicurious,Indian,SouthAsian
1000250,Epicurious,Indian,SouthAsian
1000251,Epicurious,Indian,SouthAsian
1000252,Epicurious,Indian,SouthAsian
1000253,Epicurious,Indian,SouthAsian
1000254,Epicurious,Indian,SouthAsian
1000255,Epicurious,Indian,SouthAsian
1000256,Epicurious,Indian,SouthAsian
1000257,Epicurious,Indian,SouthAsian
1000258,Epicurious,Indian,SouthAsian
1000259,Epicurious,Indian,SouthAsian
1000260,Epicurious,Indian,SouthAsian
1000261,Epicurious,Indian,SouthAsian
1000262,Epicurious,Indian,SouthAsian
1000263,Epicurious,Indian,SouthAsian
1000264,Epicurious,Indian,SouthAsian
1000265,Epicurious,Indian,SouthAsian
1000266,Epicurious,Indian,SouthAsian
1000267,Epicurious,Indian,SouthAsian
1000268,Epicurious,Indian,SouthAsian
1000269,Epicurious,Indian,SouthAsian
1000270,Epicurious,Indian,SouthAsian
1000271,Epicurious,Indian,SouthAsian
1000272,Epicurious,Indian,SouthAsian
1000273,Epicurious,Indian,SouthAsian
1000274,Epicurious,Indian,SouthAsian
1000275,Epicurious,Indian,SouthAsian
1000276,Epicurious,Indian,SouthAsian
1000277,Epicurious,Indian,SouthAsian
1000278,Epicurious,Indian,SouthAsian
1000279,Epicurious,Indian,SouthAsian
1000280,Epicurious,Indian,SouthAsian
1000281,Epicurious,Indian,SouthAsian
1000282,Epicurious,Indian,SouthAsian
1000283,Epicurious,Indian,SouthAsian
1000284,Epicurious,Indian,SouthAsian
1000285,Epicurious,Indian,SouthAsian
1000286,Epicurious,Indian,SouthAsian
1000287,Epicurious,Indian,SouthAsian
1000288,Epicurious,Indian,SouthAsian
1000289,Epicurious,Indian,SouthAsian
1000290,Epicurious,Indian,SouthAsian
1000291,Epicurious,Indian,SouthAsian
1000292,Epicurious,Indian,SouthAsian
1000293,Epicurious,Indian,SouthAsian
1000294,Epicurious,Indian,SouthAsian
1000295,Epicurious,Indian,SouthAsian
1000296,Epicurious,Indian,SouthAsian
1000297,Epicurious,Indian,SouthAsian
1000298,Epicurious,Indian,SouthAsian
1000299,Epicurious,Indian,SouthAsian
1000300,Epicurious,Indian,SouthAsian
1000301,Epicurious,Indian,SouthAsian
1000302,Epicurious,Indian,SouthAsian
1000303,Epicurious,Indian,SouthAsian
1000304,Epicurious,Indian,SouthAsian
1000305,Epicurious,Indian,SouthAsian
1000306,Epicurious,Indian,SouthAsian
1000307,Epicurious,Indian,SouthAsian
1000308,Epicurious,Indian,SouthAsian
1000309,Epicurious,Indian,SouthAsian
1000310,Epicurious,Indian,SouthAsian
1000311,Epicurious,Indian,SouthAsian
1000312,Epicurious,Indian,SouthAsian
1000313,Epicurious,Indian,SouthAsian
1000314,Epicurious,Indian,SouthAsian
1000315,Epicurious,Indian,SouthAsian
1000316,Epicurious,Indian,SouthAsian
1000317,Epicurious,Indian,SouthAsian
1000318,Epicurious,Indian,SouthAsian
1000319,Epicurious,Indian,SouthAsian
1000320,Epicurious,Indian,SouthAsian
1000321,Epicurious,Indian,SouthAsian
1000322,Epicurious,Indian,SouthAsian
1000323,Epicurious,Indian,SouthAsian
1000324,Epicurious,Indian,SouthAsian
1000325,Epicurious,Indian,SouthAsian
1000326,Epicurious,Indian,SouthAsian
1000327,Epicurious,Indian,SouthAsian
1000328,Epicurious,Indian,SouthAsian
1000329,Epicurious,Indian,SouthAsian
1000330,Epicurious,Indian,SouthAsian
1000331,Epicurious,Indian,SouthAsian
1000332,Epicurious,Indian,SouthAsian
1000333,Epicurious,Indian,SouthAsian
1000334,Epicurious,Indian,SouthAsian
1000335,Epicurious,Indian,SouthAsian
1000336,Epicurious,Indian,SouthAsian
1000337,Epicurious,Indian,SouthAsian
1000338,Epicurious,Indian,SouthAsian
1000339,Epicurious,Spanish_Portuguese,SouthernEuropean
1000340,Epicurious,Spanish_Portuguese,SouthernEuropean
1000341,Epicurious,Spanish_Portuguese,SouthernEuropean
1000342,Epicurious,Spanish_Portuguese,SouthernEuropean
1000343,Epicurious,Spanish_Portuguese,SouthernEuropean
1000344,Epicurious,Spanish_Portuguese,SouthernEuropean
1000345,Epicurious,Spanish_Portuguese,SouthernEuropean
1000346,Epicurious,Spanish_Portuguese,SouthernEuropean
1000347,Epicurious,Spanish_Portuguese,SouthernEuropean
1000348,Epicurious,Spanish_Portuguese,SouthernEuropean
1000349,Epicurious,Spanish_Portuguese,SouthernEuropean
1000350,Epicurious,Spanish_Portuguese,SouthernEuropean
1000351,Epicurious,Spanish_Portuguese,SouthernEuropean
1000352,Epicurious,Spanish_Portuguese,SouthernEuropean
1000353,Epicurious,Spanish_Portuguese,SouthernEuropean
1000354,Epicurious,Spanish_Portuguese,SouthernEuropean
1000355,Epicurious,Spanish_Portuguese,SouthernEuropean
1000356,Epicurious,Spanish_Portuguese,SouthernEuropean
1000357,Epicurious,Spanish_Portuguese,SouthernEuropean
1000358,Epicurious,Spanish_Portuguese,SouthernEuropean
1000359,Epicurious,Spanish_Portuguese,SouthernEuropean
1000360,Epicurious,Spanish_Portuguese,SouthernEuropean
1000361,Epicurious,Spanish_Portuguese,SouthernEuropean
1000362,Epicurious,Spanish_Portuguese,SouthernEuropean
1000363,Epicurious,Spanish_Portuguese,SouthernEuropean
1000364,Epicurious,Spanish_Portuguese,SouthernEuropean
1000365,Epicurious,Spanish_Portuguese,SouthernEuropean
1000366,Epicurious,Spanish_Portuguese,SouthernEuropean
1000367,Epicurious,Spanish_Portuguese,SouthernEuropean
1000368,Epicurious,Spanish_Portuguese,SouthernEuropean
1000369,Epicurious,Spanish_Portuguese,SouthernEuropean
1000370,Epicurious,Spanish_Portuguese,SouthernEuropean
1000371,Epicurious,Spanish_Portuguese,SouthernEuropean
1000372,Epicurious,Spanish_Portuguese,SouthernEuropean
1000373,Epicurious,Spanish_Portuguese,SouthernEuropean
1000374,Epicurious,Spanish_Portuguese,SouthernEuropean
1000375,Epicurious,Spanish_Portuguese,SouthernEuropean
1000376,Epicurious,Spanish_Portuguese,SouthernEuropean
1000377,Epicurious,Spanish_Portuguese,SouthernEuropean
1000378,Epicurious,Spanish_Portuguese,SouthernEuropean
1000379,Epicurious,Spanish_Portuguese,SouthernEuropean
1000380,Epicurious,Spanish_Portuguese,SouthernEuropean
1000381,Epicurious,Spanish_Portuguese,SouthernEuropean
1000382,Epicurious,Spanish_Portuguese,SouthernEuropean
1000383,Epicurious,Spanish_Portuguese,SouthernEuropean
1000384,Epicurious,Spanish_Portuguese,SouthernEuropean
1000385,Epicurious,Spanish_Portuguese,SouthernEuropean
1000386,Epicurious,Spanish_Portuguese,SouthernEuropean
1000387,Epicurious,Spanish_Portuguese,SouthernEuropean
1000388,Epicurious,Spanish_Portuguese,SouthernEuropean
1000389,Epicurious,Spanish_Portuguese,SouthernEuropean
1000390,Epicurious,Spanish_Portuguese,SouthernEuropean
1000391,Epicurious,Spanish_Portuguese,SouthernEuropean
1000392,Epicurious,Spanish_Portuguese,SouthernEuropean
1000393,Epicurious,Spanish_Portuguese,SouthernEuropean
1000394,Epicurious,Spanish_Portuguese,SouthernEuropean
1000395,Epicurious,Spanish_Portuguese,SouthernEuropean
1000396,Epicurious,Spanish_Portuguese,SouthernEuropean
1000397,Epicurious,Spanish_Portuguese,SouthernEuropean
1000398,Epicurious,Spanish_Portuguese,SouthernEuropean
1000399,Epicurious,Spanish_Portuguese,SouthernEuropean
1000400,Epicurious,Spanish_Portuguese,SouthernEuropean
1000401,Epicurious,Spanish_Portuguese,SouthernEuropean
1000402,Epicurious,Spanish_Portuguese,SouthernEuropean
1000403,Epicurious,Spanish_Portuguese,SouthernEuropean
1000404,Epicurious,Spanish_Portuguese,SouthernEuropean
1000405,Epicurious,Spanish_Portuguese,SouthernEuropean
1000406,Epicurious,Spanish_Portuguese,SouthernEuropean
1000407,Epicurious,Spanish_Portuguese,SouthernEuropean
1000408,Epicurious,Spanish_Portuguese,SouthernEuropean
1000409,Epicurious,Spanish_Portuguese,SouthernEuropean
1000410,Epicurious,Spanish_Portuguese,SouthernEuropean
1000411,Epicurious,Spanish_Portuguese,SouthernEuropean
1000412,Epicurious,Spanish_Portuguese,SouthernEuropean
1000413,Epicurious,Spanish_Portuguese,SouthernEuropean
1000414,Epicurious,Spanish_Portuguese,SouthernEuropean
1000415,Epicurious,Spanish_Portuguese,SouthernEuropean
1000416,Epicurious,Spanish_Portuguese,SouthernEuropean
1000417,Epicurious,Spanish_Portuguese,SouthernEuropean
1000418,Epicurious,Spanish_Portuguese,SouthernEuropean
1000419,Epicurious,Spanish_Portuguese,SouthernEuropean
1000420,Epicurious,Spanish_Portuguese,SouthernEuropean
1000421,Epicurious,Spanish_Portuguese,SouthernEuropean
1000422,Epicurious,Spanish_Portuguese,SouthernEuropean
1000423,Epicurious,Spanish_Portuguese,SouthernEuropean
1000424,Epicurious,Spanish_Portuguese,SouthernEuropean
1000425,Epicurious,Spanish_Portuguese,SouthernEuropean
1000426,Epicurious,Spanish_Portuguese,SouthernEuropean
1000427,Epicurious,Spanish_Portuguese,SouthernEuropean
1000428,Epicurious,Spanish_Portuguese,SouthernEuropean
1000429,Epicurious,Spanish_Portuguese,SouthernEuropean
1000430,Epicurious,Spanish_Portuguese,SouthernEuropean
1000431,Epicurious,Spanish_Portuguese,SouthernEuropean
1000432,Epicurious,Spanish_Portuguese,SouthernEuropean
1000433,Epicurious,Spanish_Portuguese,SouthernEuropean
1000434,Epicurious,Spanish_Portuguese,SouthernEuropean
1000435,Epicurious,Spanish_Portuguese,SouthernEuropean
1000436,Epicurious,Spanish_Portuguese,SouthernEuropean
1000437,Epicurious,Spanish_Portuguese,SouthernEuropean
1000438,Epicurious,Spanish_Portuguese,SouthernEuropean
1000439,Epicurious,Spanish_Portuguese,SouthernEuropean
1000440,Epicurious,Spanish_Portuguese,SouthernEuropean
1000441,Epicurious,Spanish_Portuguese,SouthernEuropean
1000442,Epicurious,Spanish_Portuguese,SouthernEuropean
1000443,Epicurious,Spanish_Portuguese,SouthernEuropean
1000444,Epicurious,Spanish_Portuguese,SouthernEuropean
1000445,Epicurious,Spanish_Portuguese,SouthernEuropean
1000446,Epicurious,Spanish_Portuguese,SouthernEuropean
1000447,Epicurious,Spanish_Portuguese,SouthernEuropean
1000448,Epicurious,Spanish_Portuguese,SouthernEuropean
1000449,Epicurious,Spanish_Portuguese,SouthernEuropean
1000450,Epicurious,Spanish_Portuguese,SouthernEuropean
1000451,Epicurious,Spanish_Portuguese,SouthernEuropean
1000452,Epicurious,Spanish_Portuguese,SouthernEuropean
1000453,Epicurious,Spanish_Portuguese,SouthernEuropean
1000454,Epicurious,Spanish_Portuguese,SouthernEuropean
1000455,Epicurious,Spanish_Portuguese,SouthernEuropean
1000456,Epicurious,Spanish_Portuguese,SouthernEuropean
1000457,Epicurious,Spanish_Portuguese,SouthernEuropean
1000458,Epicurious,Spanish_Portuguese,SouthernEuropean
1000459,Epicurious,Spanish_Portuguese,SouthernEuropean
1000460,Epicurious,Spanish_Portuguese,SouthernEuropean
1000461,Epicurious,Spanish_Portuguese,SouthernEuropean
1000462,Epicurious,Spanish_Portuguese,SouthernEuropean
1000463,Epicurious,Spanish_Portuguese,SouthernEuropean
1000464,Epicurious,Spanish_Portuguese,SouthernEuropean
1000465,Epicurious,Spanish_Portuguese,SouthernEuropean
1000466,Epicurious,Spanish_Portuguese,SouthernEuropean
1000467,Epicurious,Spanish_Portuguese,SouthernEuropean
1000468,Epicurious,Spanish_Portuguese,SouthernEuropean
1000469,Epicurious,Spanish_Portuguese,SouthernEuropean
1000470,Epicurious,Spanish_Portuguese,SouthernEuropean
1000471,Epicurious,Spanish_Portuguese,SouthernEuropean
1000472,Epicurious,Spanish_Portuguese,SouthernEuropean
1000473,Epicurious,Spanish_Portuguese,SouthernEuropean
1000474,Epicurious,Spanish_Portuguese,SouthernEuropean
1000475,Epicurious,Spanish_Portuguese,SouthernEuropean
1000476,Epicurious,Spanish_Portuguese,SouthernEuropean
1000477,Epicurious,Spanish_Portuguese,SouthernEuropean
1000478,Epicurious,Spanish_Portuguese,SouthernEuropean
1000479,Epicurious,Spanish_Portuguese,SouthernEuropean
1000480,Epicurious,Spanish_Portuguese,SouthernEuropean
1000481,Epicurious,Spanish_Portuguese,SouthernEuropean
1000482,Epicurious,Spanish_Portuguese,SouthernEuropean
1000483,Epicurious,Spanish_Portuguese,SouthernEuropean
1000484,Epicurious,Spanish_Portuguese,SouthernEuropean
1000485,Epicurious,Spanish_Portuguese,SouthernEuropean
1000486,Epicurious,Spanish_Portuguese,SouthernEuropean
1000487,Epicurious,Spanish_Portuguese,SouthernEuropean
1000488,Epicurious,Spanish_Portuguese,SouthernEuropean
1000489,Epicurious,Spanish_Portuguese,SouthernEuropean
1000490,Epicurious,Spanish_Portuguese,SouthernEuropean
1000491,Epicurious,Spanish_Portuguese,SouthernEuropean
1000492,Epicurious,Spanish_Portuguese,SouthernEuropean
1000493,Epicurious,Spanish_Portuguese,SouthernEuropean
1000494,Epicurious,Spanish_Portuguese,SouthernEuropean
1000495,Epicurious,Spanish_Portuguese,SouthernEuropean
1000496,Epicurious,Spanish_Portuguese,SouthernEuropean
1000497,Epicurious,Spanish_Portuguese,SouthernEuropean
1000498,Epicurious,Spanish_Portuguese,SouthernEuropean
1000499,Epicurious,Spanish_Portuguese,SouthernEuropean
1000500,Epicurious,Spanish_Portuguese,SouthernEuropean
1000501,Epicurious,Spanish_Portuguese,SouthernEuropean
1000502,Epicurious,Spanish_Portuguese,SouthernEuropean
1000503,Epicurious,Spanish_Portuguese,SouthernEuropean
1000504,Epicurious,Spanish_Portuguese,SouthernEuropean
1000505,Epicurious,Spanish_Portuguese,SouthernEuropean
1000506,Epicurious,Spanish_Portuguese,SouthernEuropean
1000507,Epicurious,Spanish_Portuguese,SouthernEuropean
1000508,Epicurious,Spanish_Portuguese,SouthernEuropean
1000509,Epicurious,Spanish_Portuguese,SouthernEuropean
1000510,Epicurious,Spanish_Portuguese,SouthernEuropean
1000511,Epicurious,Spanish_Portuguese,SouthernEuropean
1000512,Epicurious,Spanish_Portuguese,SouthernEuropean
1000513,Epicurious,Spanish_Portuguese,SouthernEuropean
1000514,Epicurious,Spanish_Portuguese,SouthernEuropean
1000515,Epicurious,Spanish_Portuguese,SouthernEuropean
1000516,Epicurious,Spanish_Portuguese,SouthernEuropean
1000517,Epicurious,Spanish_Portuguese,SouthernEuropean
1000518,Epicurious,Spanish_Portuguese,SouthernEuropean
1000519,Epicurious,Spanish_Portuguese,SouthernEuropean
1000520,Epicurious,Spanish_Portuguese,SouthernEuropean
1000521,Epicurious,Spanish_Portuguese,SouthernEuropean
1000522,Epicurious,Spanish_Portuguese,SouthernEuropean
1000523,Epicurious,Spanish_Portuguese,SouthernEuropean
1000524,Epicurious,Spanish_Portuguese,SouthernEuropean
1000525,Epicurious,Spanish_Portuguese,SouthernEuropean
1000526,Epicurious,Spanish_Portuguese,SouthernEuropean
1000527,Epicurious,Spanish_Portuguese,SouthernEuropean
1000528,Epicurious,Spanish_Portuguese,SouthernEuropean
1000529,Epicurious,Spanish_Portuguese,SouthernEuropean
1000530,Epicurious,Spanish_Portuguese,SouthernEuropean
1000531,Epicurious,Spanish_Portuguese,SouthernEuropean
1000532,Epicurious,Spanish_Portuguese,SouthernEuropean
1000533,Epicurious,Spanish_Portuguese,SouthernEuropean
1000534,Epicurious,Spanish_Portuguese,SouthernEuropean
1000535,Epicurious,Spanish_Portuguese,SouthernEuropean
1000536,Epicurious,Spanish_Portuguese,SouthernEuropean
1000537,Epicurious,Spanish_Portuguese,SouthernEuropean
1000538,Epicurious,Spanish_Portuguese,SouthernEuropean
1000539,Epicurious,Spanish_Portuguese,SouthernEuropean
1000540,Epicurious,Spanish_Portuguese,SouthernEuropean
1000541,Epicurious,Spanish_Portuguese,SouthernEuropean
1000542,Epicurious,Spanish_Portuguese,SouthernEuropean
1000543,Epicurious,Spanish_Portuguese,SouthernEuropean
1000544,Epicurious,Spanish_Portuguese,SouthernEuropean
1000545,Epicurious,Spanish_Portuguese,SouthernEuropean
1000546,Epicurious,Spanish_Portuguese,SouthernEuropean
1000547,Epicurious,Spanish_Portuguese,SouthernEuropean
1000548,Epicurious,Spanish_Portuguese,SouthernEuropean
1000549,Epicurious,Spanish_Portuguese,SouthernEuropean
1000550,Epicurious,Spanish_Portuguese,SouthernEuropean
1000551,Epicurious,Spanish_Portuguese,SouthernEuropean
1000552,Epicurious,Spanish_Portuguese,SouthernEuropean
1000553,Epicurious,Spanish_Portuguese,SouthernEuropean
1000554,Epicurious,Spanish_Portuguese,SouthernEuropean
